frame direction object_x object_y onLane_x onLane_y lateral_distance answer
7 same 23.410000228881835 0.6899999976158142 23.383457281447452 +2.6651292783086635 -1.975307622500545 -1.9 
7 opposite 33.11500015258789 12.630000114440918 33.254626030262685 +2.8014332098321577 +9.829558626107637 +9.9
7 opposite 45.699999237060545 7.429999828338623 45.767240116595964 +2.9849614370334376 +4.445546944534236 +4.468
37 same 2.0299999999999994 3.630000114440918 2.0446316014119614 +1.7008921616195551 +1.9291634397838118 +1.8161
37 same 17.51000030517578 0.44999998807907104 17.470313293642274 +1.957851274325943 -1.508373481708296 -1.5
37 same 22.294999771118164 3.4600000381469727 22.3392688240898 +2.100612563436117 +1.360108104325448 +1.2934
38 same 16.84999984741211 6.489999771118164 16.866434257689406 +1.8365466606337342 +4.653482130761691 +4.597
46 same 24.925000228881835 0.3199999928474426 24.90831569361677 +1.565999917631296 -1.2461116267326855 -1.22
47 same 8.925000305175782 8.369999885559082 9.049467882439565 +2.467404229875343 +5.903907828911836 +5.8
47 same 10.09 4.650000095367432 10.134831140276038 +2.4902467881945913 +2.1602185488932526 +2.16
47 same 15.635 12.640000343322754 15.826798479964637 +2.60374230482678 +10.038090559075057 +10.0945
47 same 21.530000305175783 8.539999961853027 21.629919072088573 +2.7084573063443473 +5.8323986063195825 +5.92
47 same 23.1899991607666 5.0 23.227310211582434 +2.7353481679257716 +2.264959168512788 +2.25
47 same 23.919999618530273 12.989999771118164 24.085343516026388 +2.749456500445646 +10.24187800566651 +10.3
47 same 24.620000915527342 0.3799999952316284 24.581614276326206 +2.7574692923017508 -2.3777791723749835 -2.369
60 same 18.770000457763672 0.7799999713897705 18.687736148723662 +3.3687653372541435 -2.5900721102009356 -2.376
72 opposite 10.490000076293946 3.869999885559082 10.494471582998377 +2.456920688501585 +1.4130862717926564 +1.729
72 opposite 22.709999923706054 19.790000915527344 22.716291646989138 +2.4781836269424464 +17.311818431901628 +17.344
72 same 30.349998474121094 0.009999999776482582 30.353703617740216 +2.4737633469453733 -2.463766133167289 -2.53
80 same 21.735000915527344 3.7899999618530273 21.738306638281326 +2.471241680389386 +1.3187624246739298 +1.586
138 same 15.230000915527343 4.03000020980835 15.225240152001321 2.5669054179233552 -1.4631025373877067 -1.654
138 opposite 26.40500076293945 20.09000015258789 26.57226334873963 2.6014085963918565 +17.48939139570213 +17.63
138 same 31.59000015258789 0.23999999463558197 31.552694990193398 2.663914852924585 -2.424201913078916 -2.03
138 same 33.24999984741211 3.990000009536743 33.272998297252336 2.692192617730036 +1.2980111536204848 +1.45
138 opposite 44.61999877929688 20.260000228881836 45.16777779083781 2.9822341127860987 +17.28644740274851 +17.4
143 opposite 23.610000915527344 18.950000762939453 23.810323223297377 2.1956735970059 +16.755524695160382 +16.814
143 opposite 40.45999969482422 26.809999465942383 40.92078798403656 2.462422797265315 +24.35193658591824 +24.36
150 same 23.609999084472655 0.6600000262260437 23.567213663084694 2.766856559812359 -2.107290925667049 -1.8822
150 opposite 36.620001220703124 7.21999979019165 36.879751677608034 3.360511235180678 +3.8682195136939934 +4.71
160 opposite 25.224999923706054 3.2699999809265137 25.220559580383696 2.345347019239779 +0.9246636232732799 1.22
160 same 28.649999618530273 -0.05000000074505806 28.54061642627137 -2.4133807572211805 -2.3659106667054006 -1.67
164 same 19.190000534057617 0.75 19.11042060134274 3.2636146530358117 -2.514874070335779 -2.3414
164 opposite 33.65999954223633 26.969999313354492 34.805166722348105 3.9008486576433703 +23.097556577402337 +23.1858
164 opposite 44.55499954223633 27.3799991607666 45.0 4.472857200861076 +22.911463903004414 +22.978
166 opposite 22.694999084472656 21.1299991607666 22.909829132495346 2.9050765090066335 +18.226188784607906 +18.275
166 same 25.649999618530273 0.6200000047683716 25.625984731117377 2.9347959284104634 -2.3149204917075443 -2.5128
216 same 29.0599991607666 0.9100000262260437 29.007970049708117 2.5294196439305163 -1.620255204158788 -1.5164
216 opposite 12.365 8.3100004196167 12.58058242676762 1.9851613844528508 +6.328512037079758 +6.393
216 opposite 21.309999618530274 8.569999694824219 21.517709730182858 2.285103641056824 +6.288327432405512 +6.2154
216 opposite 32.13500183105469 8.890000343322754 32.333778265420214 2.635811449610257 +6.257346944919693 +6.3759
216 opposite 42.67000122070313 9.180000305175781 42.86040254856001 2.9642082508378422 +6.218707544853699 +5.7635
219 same 24.049999618530272 0.6800000071525574 24.022136220167873 2.805427131997771 -2.125609755339887 -2.0
225 same 31.310001373291016 0.3199999928474426 31.284625819315192 2.519915066029744 -2.200061419132264 -2.03
225 same 31.655 3.9700000286102295 31.67167492521798 2.524379595409927 +1.4457166008652096 +1.6432
225 opposite 25.424999389648438 20.700000762939453 25.660775699083416 2.4511121156439986 +18.25041170301316 +18.1841
236 same 11.174999923706055 3.619999885559082 11.176837162309406 1.863439437037208 +1.7565614093327488 +1.7137
236 same 11.629999656677246 7.809999942779541 11.636218837901236 1.8639199179388357 +5.946083277252744 +5.89994
236 same 13.465000114440919 12.079999923706055 13.486388487297551 1.8668890743633484 +10.21313324516307 +10.1875
236 same 18.560000762939453 7.559999942779541 18.586760899118005 1.8843494225497164 +5.675713605589467 +5.6099
236 same 20.765000381469726 11.520000457763672 20.820463698017512 1.8962653252411148 +9.623894953730087 +9.5135
236 same 23.384999771118164 3.3399999141693115 23.395465467814518 1.9132997768680926 +1.4267385228494593 +1.3572
236 same 30.69000061035156 0.3199999928474426 30.67173140790768 1.9801470099036749 -1.6602475363627685 -1.7209
236 same 37.41000015258789 7.639999866485596 37.49176098162539 2.0680096708265294 +5.572590023829643 +5.5286
237 opposite 36.21999969482422 20.93000030517578 36.39170670335574 2.186028794921435 +18.744757967869457 +18.8903
246 same 3.0800002098083494 3.7799999713897705 3.085677528177669 1.8387251902929984 +1.9412830828259404 +1.916
246 same 7.184999542236328 8.479999542236328 7.22551841127491 1.856341456091911 +6.623782017918049 +6.6288
246 same 13.345000038146972 12.489999771118164 13.460404790552213 1.908659903572295 +10.581969176358118 +10.4611
246 same 14.005000457763671 7.679999828338623 14.07247305258175 1.9153932369140463 +5.765001448824376 +5.6377
246 same 18.729999771118166 4.070000171661377 18.761172690086646 1.977492127667995 +2.0927402287560737 +1.9314
246 same 22.799999084472656 8.239999771118164 22.91203088829067 2.047030146769737 +6.193982878017102 +6.0264
248 same 10.215000038146972 4.130000114440918 10.230429464608221 2.309442104117767 +1.8206233921799184 +1.6811
248 same 10.799999656677246 8.40999984741211 10.851657923505641 2.31470708263965 +6.095511665546971 +5.9008
248 same 19.26500015258789 8.420000076293945 19.312011868851584 2.3834459890753377 +6.036737144300862 +5.9211
248 same 21.590000839233397 4.539999961853027 21.606331240966377 2.401144814897472 +2.1389174882821056 +1.8837
248 same 26.644999923706056 12.460000038146973 26.71768425504443 2.439132920134533 +10.021130715088244 +9.6268
248 same 29.920000228881836 8.65999984741211 29.963534680442816 2.4622262139844144 +6.197926529064722 +5.8399
248 same 31.475001220703124 5.079999923706055 31.4929164286797 2.4728172650984876 +2.6072442098930555 +2.1876
249 same 5.470000171661377 7.699999809265137 5.642140372364115 1.713748545922721 +5.988725777372565 +5.8902
249 same 5.704999828338623 3.2699999809265137 5.749662369758884 1.7168404405655064 +1.5538015640423755 +1.3894
249 same 13.77000026702881 4.110000133514404 13.847431415155148 1.982944284428895 +2.1284647443237206 +1.8934
249 same 15.550000152587891 8.350000381469727 15.791146575489021 2.0561696503640086 +6.298448766886078 +5.9845
249 same 19.240000228881836 13.010000228881836 19.69491915085669 2.214133961316664 +10.805446760440882 +10.5365
253 opposite 18.049999771118163 6.190000057220459 18.07059494335798 2.3195357901928078 +3.8705190612445617 +4.0102
253 same 21.770000839233397 0.4399999976158142 21.758980478291626 2.3400047651130156 -1.9000367272417078 -1.795
271 opposite 19.1900008392334 4.28000020980835 19.225711956617708 3.3448077554704243 +0.9358740356241476 +1.1343
271 same 20.969999313354492 0.7799999713897705 20.871493294724072 3.407052792723 -2.628899001822112 -2.1604
276 opposite 18.344999771118164 3.569999933242798 18.350959498048535 2.24207696443145 +1.3279363423906387 +1.465
276 opposite 43.42499877929688 3.5199999809265137 43.4047529975797 2.1195190304996774 +1.400627282393783 +1.3647
306 opposite 18.799999237060547 0.6700000166893005 18.6942564707967 3.275224307216739 -2.6073693901270154 -2.6
344 opposite 16.220000762939453 6.239999771118164 16.254526658136047 2.4045679050892015 +3.8355872609536 +3.8346
344 same 22.36999931335449 0.47999998927116394 22.347174861767638 2.4664965698279344 -1.9866277004396125 -1.7554
344 opposite 46.12000137329102 6.110000133514404 46.18975597522075 2.8567783471150907 +3.253969529051173 +3.6864
345 same 8.914999847412108 3.759999990463257 8.933451203538581 1.6782888310675175 +2.0817929300714946 +2.012
345 same 20.72000053405762 3.9200000762939453 20.759000975801296 1.8452847574303841 +2.0750818511045126 +1.8658
345 same 24.2099991607666 0.46000000834465027 24.17782753260979 1.9151078466156861 -1.4554634432565 -1.5462
345 same 25.620000915527342 8.09000015258789 25.760819129454855 1.9507367718979995 +6.140878164143433 +6.0839
345 same 35.6750016784668 12.40999984741211 35.99275235547968 2.230902598474227 +10.184055493568215 +10.0945
357 same 7.139999542236328 8.380000114440918 7.1849575584506375 2.3508839638223726 +6.029283770139809 +6.0213
357 same 8.544999961853026 4.659999847412109 8.562605528568477 2.3612704836935605 +2.298796781710218 +2.2899
357 same 15.864999618530273 8.529999732971191 15.920406205812514 2.4231662755851233 +6.107084800963889 +6.0905
357 same 16.86000045776367 12.130000114440918 16.949941873927216 2.4326990286765464 +9.697718175236297 +9.7057
357 same 18.029999389648438 4.579999923706055 18.050681949998456 2.4431307581628126 +2.136969255499972 +2.0248
357 same 25.95000068664551 9.119999885559082 26.024479698808083 2.526004206684227 +6.594416284727024 +6.5256
357 same 26.055000686645506 5.449999809265137 26.088019035900228 2.526721881867917 +2.923464392154502 +2.8573
363 opposite 29.774999923706055 3.8499999046325684 29.790237684953098 2.569623275106886 +1.28046729860757 +1.5327
386 same 4.110000019073486 3.190000057220459 4.109665059519275 1.9172850160814596 +1.2727150852171698 +1.2717
386 same 9.030000343322754 7.920000076293945 9.057960758235884 1.926124361516798 +5.993940929722062 +5.9015
386 same 16.484999542236327 12.270000457763672 16.603922075108915 1.9861892509863568 +10.284498796998495 +10.1621
386 same 18.164999694824218 3.9000000953674316 18.190636836645993 2.0058994914736887 +1.8942740986223277 +1.788
386 same 21.29000045776367 8.140000343322754 21.39038240535121 2.0533199715135333 +6.087508068493141 +5.9451
386 same 28.120000228881835 7.96999979019165 28.25522541332427 2.1889939528209745 +5.78258716685026 +5.644
386 same 28.590000228881834 0.7099999785423279 28.555240497827768 2.196011692688186 -1.486418196027505 -1.6018
386 same 30.244998474121093 3.7899999618530273 30.28436096123267 2.238004188250927 +1.5524948588225311 +1.4066
406 same 18.299999618530272 -0.550000011920929 18.23945440533766 -2.442778206799413 -1.8937462918374233 -1.7467
413 opposite 12.674999885559082 8.220000267028809 12.644660489217959 1.8738295923629888 +6.346243196644671 +6.369
413 opposite 26.499999237060546 8.25 26.576709751722987 1.926909266788511 +6.32355603465999 +6.5518
413 same 33.83999984741211 0.550000011920929 33.80918229712838 2.0468637139255215 -1.497180905496855 -1.5315
427 same 6.035 8.220000267028809 6.11627712456061 2.08189444915811 +6.138643905811362 +6.0749
427 same 7.845000228881836 4.380000114440918 7.875407494682551 2.105298261041582 +2.27490508014551 +2.2648
427 same 15.66 4.460000038146973 15.69229048735676 2.214023003476009 +2.2462091433887252 +2.1007
427 same 17.005 12.300000190734863 17.1522422814566 2.2351773811131204 +10.065899784844408 +9.9765
427 same 24.025 12.069999694824219 24.175926832140057 2.3407348445118656 +9.730435418632778 +9.6824
492 same 5.030000019073486 3.2200000286102295 5.024029463676402 1.831253482068313 +1.388759380909396 +1.344
492 same 6.170000343322754 7.570000171661377 6.158806822484414 1.826748037659666 +5.743263042001818 +5.6471
492 same 15.155000381469726 12.170000076293945 15.352201193099306 1.9008892408178097 +10.271004114077686 +10.1925
492 same 18.074999237060545 7.880000114440918 18.23029640682954 1.9648326925584096 +5.9172056614451405 +5.8571
492 same 19.429999237060546 3.319999933242798 19.467802078024455 1.998421696367588 +1.3221187885236074 +1.2742
492 same 22.7099991607666 0.7699999809265137 22.66252347679288 2.101526572864956 -1.3323726977118586 -1.4084
492 same 25.2099991607666 12.489999771118164 25.64860437626776 2.2196194362026866 +10.279741570627316 +10.2843
492 same 30.61999954223633 8.329999923706055 30.938570155348252 2.4800637978049753 +5.858603921811155 +5.9764
492 same 32.77500030517578 4.150000095367432 32.86719640928016 2.591517726885297 +1.561207037673643 +1.7498
506 same 11.539999618530274 9.779999732971191 11.62277411359159 1.8289017962985537 +7.951528784805632 +7.9342
506 same 30.68000030517578 3.380000114440918 30.727069745533072 2.3881176758174236 +0.9929986426301088 +1.1595
506 same 37.68000183105469 10.680000305175781 38.17691647122455 2.798998522677036 +7.89665202825625 +8.2477
506 same 44.959998779296875 1.090000033378601 44.798159331512366 3.2550650007023743 -2.171105322086399 -1.756
515 same 7.589999771118164 8.4399995803833 7.568278732448619 1.9208065445791496 +6.519229221433943 +6.4731
515 same 12.584999771118165 3.6500000953674316 12.585105056021902 1.9128610683115794 +1.7371390302464176 +1.7182
515 same 13.61000015258789 7.860000133514404 13.614395339971276 1.913340315099279 +5.946661442660508 +5.896
515 same 15.425000152587891 12.130000114440918 15.446409652373841 1.915978626177524 +10.214043926349028 +10.1824
515 same 20.530000076293945 7.579999923706055 20.560980856906646 1.9353872697012138 +5.64469767326107 +5.5526
515 same 24.7749991607666 3.4000000953674316 24.786771542081397 1.964787004353391 +1.435261371869214 +1.3457
515 same 30.219999389648436 0.3700000047683716 30.199745944227068 2.020177662996368 -1.650301943817031 -1.7361
515 same 39.110000915527344 7.730000019073486 39.21244116330237 2.1565179539660617 +5.574423408249353 +5.484
515 same 56.1199984741211 4.809999942779541 56.187217529297456 2.562947846364745 +2.248057278047188 +2.3014
516 opposite 25.369999389648438 20.790000915527344 25.780989032642204 2.708489138450658 +18.086182035775575 +18.4254
516 same 30.619998931884766 0.75 30.5747973392411 2.815279980308806 -2.065774571690209 -1.8427
516 opposite 36.35500061035156 20.790000915527344 36.72746827831584 2.946673472379314 +17.847214527961455 +18.1254
600 same 3.675 4.190000057220459 3.6841127912347282 2.3765127631475482 +1.81351018986053 +1.8058
600 same 18.549999084472656 4.789999961853027 18.55658232708368 2.4343936429855404 +2.3556155179849934 +2.1659
